symbol,date,source,eps_estimate,reported_eps
RELIANCE.NS,2025-04-25,yahoo_earnings_dates,16.9,14.34
SBIN.NS,2023-11-04,yahoo_earnings_dates,15.4,18.04
SBIN.NS,2024-02-03,yahoo_earnings_dates,15.85,20.35
SBIN.NS,2024-05-09,yahoo_earnings_dates,15.16,23.96
SBIN.NS,2024-06-26,yahoo_earnings_dates,14.9,
SBIN.NS,2024-08-03,yahoo_earnings_dates,18.98,21.65
SBIN.NS,2024-11-08,yahoo_earnings_dates,,
SBIN.NS,2025-02-06,yahoo_earnings_dates,,
SBIN.NS,2025-05-03,yahoo_earnings_dates,19.96,21.96
TATAMOTORS.NS,2023-11-02,yahoo_earnings_dates,10.11,10.12
TATAMOTORS.NS,2024-02-02,yahoo_earnings_dates,11.83,18.53
TATAMOTORS.NS,2024-04-29,yahoo_earnings_dates,19.12,45.59
TATAMOTORS.NS,2024-08-01,yahoo_earnings_dates,16.92,14.38
TATAMOTORS.NS,2024-08-07,yahoo_earnings_dates,,
TATAMOTORS.NS,2024-11-08,yahoo_earnings_dates,13.86,9.72
TATAMOTORS.NS,2025-01-29,yahoo_earnings_dates,17.67,14.87
TATAMOTORS.NS,2025-05-13,yahoo_earnings_dates,23.53,24.95
TCS.NS,2023-10-11,yahoo_earnings_dates,30.9,31.0
TCS.NS,2024-01-11,yahoo_earnings_dates,31.67,30.29
TCS.NS,2024-04-12,yahoo_earnings_dates,33.44,34.37
TCS.NS,2024-07-11,yahoo_earnings_dates,33.04,33.28
TCS.NS,2024-10-10,yahoo_earnings_dates,34.64,32.92
TCS.NS,2025-01-09,yahoo_earnings_dates,33.77,34.21
TCS.NS,2025-04-10,yahoo_earnings_dates,35.1,33.79
TCS.NS,2025-05-30,yahoo_earnings_dates,,
WIPRO.NS,2023-10-18,yahoo_earnings_dates,5.41,5.04
WIPRO.NS,2024-01-12,yahoo_earnings_dates,5.05,5.15
WIPRO.NS,2024-04-19,yahoo_earnings_dates,5.29,5.41
WIPRO.NS,2024-07-11,yahoo_earnings_dates,5.6,
WIPRO.NS,2024-07-19,yahoo_earnings_dates,5.65,5.73
WIPRO.NS,2024-10-17,yahoo_earnings_dates,5.69,6.12
WIPRO.NS,2025-01-17,yahoo_earnings_dates,3.19,3.2
WIPRO.NS,2025-04-16,yahoo_earnings_dates,3.19,3.39
