symbol,date,open,high,low,close,volume
NIFTYDEFENSE,2025-07-11,8653.95,8691.35,8480.45,8512.3,25700515
NIFTYDEFENSE,2025-07-14,8486.0,8497.95,8399.55,8439.85,27867934
NIFTYDEFENSE,2025-07-15,8461.35,8536.0,8449.85,8477.15,37636989
NIFTYDEFENSE,2025-07-16,8491.4,8501.0,8422.95,8436.9,15521880
NIFTYDEFENSE,2025-07-17,8446.05,8475.45,8347.95,8357.2,16520209
NIFTYDEFENSE,2025-07-18,8367.1,8418.65,8148.7,8163.4,32040163
NIFTYDEFENSE,2025-07-21,8157.15,8245.35,8080.95,8227.2,23801444
NIFTYDEFENSE,2025-07-22,8271.6,8323.8,8225.3,8243.15,21524883
NIFTYDEFENSE,2025-07-23,8262.4,8274.2,8131.15,8200.25,17910552
NIFTYDEFENSE,2025-07-24,8215.15,8240.6,8148.3,8163.9,13060846
NIFTYDEFENSE,2025-07-25,8164.05,8164.65,7989.1,7996.45,17018250
NIFTYDEFENSE,2025-07-28,7969.9,8008.9,7788.7,7836.75,29217689
NIFTYDEFENSE,2025-07-29,7774.7,7832.45,7678.3,7808.85,37871305
NIFTYDEFENSE,2025-07-30,7828.95,7873.75,7781.0,7828.95,17857884
NIFTYDEFENSE,2025-07-31,7703.15,7872.9,7703.15,7776.6,20534268
NIFTYDEFENSE,2025-08-01,7776.85,7781.5,7603.05,7615.6,15638781
NIFTYDEFENSE,2025-08-04,7628.3,7826.95,7604.0,7808.15,20668144
NIFTYDEFENSE,2025-08-05,7829.35,7883.85,7754.9,7874.75,22533773
NIFTYDEFENSE,2025-08-06,7954.05,7966.05,7807.15,7836.2,25586579
NIFTYDEFENSE,2025-08-07,7792.1,7837.3,7685.6,7800.05,18447292
NIFTYDEFENSE,2025-08-08,7776.55,7783.65,7594.55,7607.9,16605026
NIFTYDEFENSE,2025-08-11,7606.9,7842.65,7584.75,7700.75,22365677
NIFTYDEFENSE,2025-08-12,7717.65,7725.15,7578.45,7626.25,18621333
NIFTYDEFENSE,2025-08-13,7679.45,7869.65,7675.75,7826.8,25676635
NIFTYDEFENSE,2025-08-14,7836.65,7840.3,7740.85,7804.8,15488780
NIFTYDEFENSE,2025-08-18,7883.7,7908.7,7794.2,7815.5,19693478
