symbol,date,ensemble_score_mean,ensemble_score_std,ensemble_score_count,confidence_mean,relevance_score_mean,sentiment_lag1,sentiment_lag2
COCHINSHIP.NS,2025-05-14,-0.097,0.3095,2,0.2189,0.85,-0.2492,-0.4134
COCHINSHIP.NS,2025-05-15,-0.291,0.1513,9,0.2917,0.8333,-0.097,-0.2492
COCHINSHIP.NS,2025-05-16,-0.2072,0.133,4,0.2072,0.85,-0.291,-0.097
COCHINSHIP.NS,2025-05-20,-0.0087,0.3006,2,0.2125,0.85,-0.2072,-0.291
COCHINSHIP.NS,2025-05-21,-0.3898,,1,0.3898,1.0,-0.0087,-0.2072
COCHINSHIP.NS,2025-05-22,0.0914,,1,0.0914,1.0,-0.3898,-0.0087
COCHINSHIP.NS,2025-05-26,0.0988,0.357,2,0.2524,0.85,0.0914,-0.3898
COCHINSHIP.NS,2025-05-28,-0.1071,,1,0.1071,1.0,0.0988,0.0914
COCHINSHIP.NS,2025-06-03,0.3314,0.3834,4,0.4511,0.7,-0.1071,0.0988
COCHINSHIP.NS,2025-06-04,-0.0355,0.4158,5,0.3174,0.88,0.3314,-0.1071
COCHINSHIP.NS,2025-06-05,-0.171,0.3356,3,0.2577,0.8,-0.0355,0.3314
COCHINSHIP.NS,2025-06-06,-0.2787,0.0267,2,0.2787,0.85,-0.171,-0.0355
COCHINSHIP.NS,2025-06-09,0.1868,,1,0.1868,1.0,-0.2787,-0.171
COCHINSHIP.NS,2025-06-11,0.2143,,1,0.2143,1.0,0.1868,-0.2787
COCHINSHIP.NS,2025-06-12,-0.2833,,1,0.2833,1.0,0.2143,0.1868
COCHINSHIP.NS,2025-06-15,0.735,,1,0.735,1.0,-0.2833,0.2143
COCHINSHIP.NS,2025-06-16,-0.1207,0.1394,3,0.1207,1.0,0.735,-0.2833
COCHINSHIP.NS,2025-06-17,-0.6798,,1,0.6798,1.0,-0.1207,0.735
COCHINSHIP.NS,2025-06-23,-0.2806,0.2218,4,0.2806,0.925,-0.6798,-0.1207
COCHINSHIP.NS,2025-06-24,0.3001,0.1907,2,0.3001,0.85,-0.2806,-0.6798
COCHINSHIP.NS,2025-06-25,-0.0514,,1,0.0514,1.0,0.3001,-0.2806
COCHINSHIP.NS,2025-07-01,-0.1111,,1,0.1111,0.7,-0.0514,0.3001
COCHINSHIP.NS,2025-07-04,0.1489,0.3224,4,0.2958,0.7,-0.1111,-0.0514
COCHINSHIP.NS,2025-07-08,0.0132,0.2165,2,0.1531,1.0,0.1489,-0.1111
COCHINSHIP.NS,2025-07-09,0.2866,,1,0.2866,0.7,0.0132,0.1489
COCHINSHIP.NS,2025-07-10,0.2559,,1,0.2559,1.0,0.2866,0.0132
COCHINSHIP.NS,2025-07-11,0.1854,,1,0.1854,1.0,0.2559,0.2866
COCHINSHIP.NS,2025-07-14,0.054,0.2092,2,0.148,1.0,0.1854,0.2559
COCHINSHIP.NS,2025-07-18,0.2022,0.0523,2,0.2022,1.0,0.054,0.1854
COCHINSHIP.NS,2025-07-28,0.2562,,1,0.2562,1.0,0.2022,0.054
COCHINSHIP.NS,2025-07-29,0.2492,,1,0.2492,1.0,0.2562,0.2022
COCHINSHIP.NS,2025-07-31,0.4509,0.0014,2,0.4509,1.0,0.2492,0.2562
COCHINSHIP.NS,2025-08-08,0.2774,0.2391,9,0.3174,0.7667,0.4509,0.2492
COCHINSHIP.NS,2025-08-10,0.3763,0.0917,4,0.3763,0.775,0.2774,0.4509
COCHINSHIP.NS,2025-08-11,-0.273,,1,0.273,1.0,0.3763,0.2774
COCHINSHIP.NS,2025-08-12,0.4523,0.1199,4,0.4523,0.775,-0.273,0.3763
COCHINSHIP.NS,2025-08-13,0.0017,0.4771,3,0.3259,0.8,0.4523,-0.273
COCHINSHIP.NS,2025-08-14,0.0683,0.4588,4,0.3836,0.925,0.0017,0.4523
COCHINSHIP.NS,2025-08-15,0.4071,,1,0.4071,1.0,0.0683,0.0017
GRSE.NS,2025-03-25,0.4643,,1,0.4643,1.0,,
GRSE.NS,2025-04-01,0.4524,,1,0.4524,1.0,0.4643,
GRSE.NS,2025-04-28,-0.2704,,1,0.2704,1.0,0.4524,0.4643
GRSE.NS,2025-05-04,0.4524,,1,0.4524,1.0,-0.2704,0.4524
GRSE.NS,2025-05-12,-0.1699,,1,0.1699,1.0,0.4524,-0.2704
GRSE.NS,2025-05-13,-0.3408,0.1035,3,0.3408,1.0,-0.1699,0.4524
GRSE.NS,2025-05-14,0.2238,0.3317,4,0.3237,1.0,-0.3408,-0.1699
GRSE.NS,2025-05-16,-0.3477,,1,0.3477,1.0,0.2238,-0.3408
GRSE.NS,2025-05-20,-0.2213,,1,0.2213,1.0,-0.3477,0.2238
GRSE.NS,2025-05-21,-0.3898,,1,0.3898,1.0,-0.2213,-0.3477
GRSE.NS,2025-05-22,-0.0337,0.1769,2,0.1251,1.0,-0.3898,-0.2213
GRSE.NS,2025-05-26,-0.1536,,1,0.1536,1.0,-0.0337,-0.3898
GRSE.NS,2025-05-28,-0.1071,,1,0.1071,1.0,-0.1536,-0.0337
GRSE.NS,2025-05-29,0.5764,,1,0.5764,1.0,-0.1071,-0.1536
GRSE.NS,2025-06-03,-0.2393,,1,0.2393,1.0,0.5764,-0.1071
GRSE.NS,2025-06-04,-0.1645,0.0025,2,0.1645,1.0,-0.2393,0.5764
GRSE.NS,2025-06-05,0.0332,0.2254,2,0.1594,1.0,-0.1645,-0.2393
GRSE.NS,2025-06-09,0.4601,,1,0.4601,1.0,0.0332,-0.1645
GRSE.NS,2025-06-11,0.2143,,1,0.2143,1.0,0.4601,0.0332
GRSE.NS,2025-06-12,0.0274,,1,0.0274,1.0,0.2143,0.4601
GRSE.NS,2025-06-13,-0.6934,,1,0.6934,1.0,0.0274,0.2143
GRSE.NS,2025-06-16,-0.065,,1,0.065,1.0,-0.6934,0.0274
GRSE.NS,2025-06-17,-0.6798,,1,0.6798,1.0,-0.065,-0.6934
GRSE.NS,2025-06-18,0.3404,0.1431,5,0.3404,0.7,-0.6798,-0.065
GRSE.NS,2025-06-19,0.2418,0.344,4,0.3634,0.7,0.3404,-0.6798
