date,open,high,low,close,volume,symbol
15-04-2025,11663.75849,11812.15236,11554.93631,11728.0625,458593,MARUTI
16-04-2025,11641.99384,11641.99384,11490.63209,11539.10742,470494,MARUTI
17-04-2025,11539.10732,11602.42204,11401.59567,11569.77539,302146,MARUTI
21-04-2025,11569.77561,11642.98325,11463.92131,11619.24023,318493,MARUTI
22-04-2025,11643.97293,11661.78019,11490.63259,11608.3584,516753,MARUTI
23-04-2025,11672.66227,11842.82058,11603.41179,11779.50586,493839,MARUTI
24-04-2025,11812.15296,11911.08222,11731.03098,11766.64551,387863,MARUTI
25-04-2025,11774.55982,11917.01794,11473.81489,11572.74414,906266,MARUTI
28-04-2025,11305.63491,11768.62381,11168.12325,11719.15918,457303,MARUTI
29-04-2025,11685.52341,11812.15285,11615.28364,11714.21289,455596,MARUTI
30-04-2025,11698.38347,12193.0297,11673.65115,12125.75781,967250,MARUTI
02-05-2025,12125.75853,12590.72602,12118.83349,12272.17383,707908,MARUTI
05-05-2025,12356.26381,12356.26381,12229.63436,12324.60645,270014,MARUTI
06-05-2025,12304.82023,12464.09633,12238.53764,12446.28906,414921,MARUTI
07-05-2025,12222.7091,12533.34695,12222.7091,12497.73242,303619,MARUTI
08-05-2025,12425.51364,12462.11746,12197.97637,12259.3125,485326,MARUTI
09-05-2025,12005.06437,12227.65518,11985.27852,12118.83301,278112,MARUTI
12-05-2025,12292.94849,12494.76416,12292.94849,12480.91406,185165,MARUTI
13-05-2025,12465.08514,12564.01439,12296.90542,12348.34863,378269,MARUTI
14-05-2025,12351.31683,12581.82198,12278.10918,12534.33594,306050,MARUTI
15-05-2025,12465.08545,12883.55617,12413.64224,12813.31641,561496,MARUTI
16-05-2025,12811.33828,12945.88207,12773.74517,12855.85645,425275,MARUTI
19-05-2025,12850.90921,12906.30959,12791.55167,12849.91992,244277,MARUTI
20-05-2025,12865.74906,12870.69552,12474.97852,12502.67871,361111,MARUTI
21-05-2025,12539.28235,12670.85826,12459.14966,12479.9248,209104,MARUTI
22-05-2025,12475.96767,12475.96767,12262.28049,12311.74512,434848,MARUTI
23-05-2025,12316.6913,12361.20946,12289.98041,12319.65918,169465,MARUTI
26-05-2025,12321.6379,12404.73847,12258.32318,12288.00195,214703,MARUTI
27-05-2025,12288.0022,12345.38116,12158.40488,12281.07715,344679,MARUTI
28-05-2025,12281.0771,12282.06639,12173.24422,12198.96582,178181,MARUTI
29-05-2025,12207.86929,12294.92703,12134.66165,12259.3125,191097,MARUTI
30-05-2025,12259.31308,12356.26375,12119.82283,12187.09473,351353,MARUTI
02-06-2025,12030.78654,12187.09476,12002.09705,12158.40527,264972,MARUTI
03-06-2025,12141.58706,12217.76259,11930.86776,11998.13965,369114,MARUTI
04-06-2025,11998.13941,12113.88663,11998.13941,12032.76465,205846,MARUTI
05-06-2025,12069.36878,12125.75845,11887.33896,11996.16113,319783,MARUTI
06-06-2025,12009.02199,12400.78183,11970.43958,12328.56348,456129,MARUTI
09-06-2025,12371.10284,12524.44318,12332.52043,12501.68945,323443,MARUTI
10-06-2025,12524.44334,12607.54391,12327.57412,12385.94238,325292,MARUTI
11-06-2025,12336.47719,12425.51351,12293.93761,12318.66992,306061,MARUTI
12-06-2025,12325.59517,12356.26323,12175.22271,12257.33398,347339,MARUTI
13-06-2025,12069.36876,12291.95957,12045.62574,12275.1416,385493,MARUTI
16-06-2025,12271.18411,12432.43878,12203.91222,12395.83496,184242,MARUTI
17-06-2025,12394.84537,12479.92452,12336.47711,12460.13867,226597,MARUTI
